key,value,unit,grade,kind,source,doc,note
water.clamp.error_at_260K,3.2,-,A,comparison,CoolPropThermo vs IAPWS sublimation,"23, 26",the stock backend returns the triple-point value at every T below it
water.clamp.error_at_240K,23.3,-,A,comparison,CoolPropThermo vs IAPWS,"23, 26",
water.clamp.error_at_200K,3900.0,-,A,comparison,CoolPropThermo (slabx <= 1.0.5) vs IAPWS,"23, 26, 42","the headline figure. **slabx 1.0.6 fixed this upstream**, and against 1.0.6 the ratio is 1; the number records what the defect was, not what the current release does"
water.clamp.error_at_150K,100000000.0,-,A,comparison,CoolPropThermo vs IAPWS,"23, 26",
water.iapws.accuracy_to_230K,0.03,fraction,A,comparison,"Wagner, Riethmann, Feistel & Harvey 2011",23,the sublimation curve against the Magnus reference
water.fusion_enthalpy,333400.0,J/kg,-,measurement,IAPWS,23,added below the triple point; a physical constant
negctl.lng_width_gate.max_change,0.0,%,A,model,"ten LNG pool trials, identical clamped CoolProp water on both arms",54,**true negative control.** The hydrogen-only plume-width coupling is bit-inactive for LNG in every trial; the water treatment is held fixed
lfl.unchanged_by_upstream_fix,True,-,A,model,the full FFI set on slabx 1.0.4 and 1.0.6,42,"**every LFL distance is identical to two decimals** on both, and so are the verdicts and the required factor of 1.1138. slabx_lh2 supplies the correction on 1.0.4 and stands aside on 1.0.6, and the answer does not depend on which"
crossfluid.lng_burro8.water_treatment_change,13.54,%,A,model,"Burro 8, LFL distance, deliberately clamped versus corrected CoolProp water backend",54,"**cross-fluid ablation, not a current software defect and not a negative control.** It shows that sub-triple-point water treatment can matter outside hydrogen; slabx 1.0.6 already carries the correction"
slabx.water_fix_upstream,1.0.6,-,-,measurement,"PyPI slabx 1.0.6, thermo/coolprop.py",42,the correction was adopted upstream: _sublimation_pressure with the IAPWS coefficients and _H_FUSION = {water: 333400}. slabx_lh2's water_ice is redundant against 1.0.6 and detects it behaviourally
negctl.lng_pool.max_change.withdrawn_0_37,0.37,%,-,withdrawn,hand calculation during the session,26,"superseded first by 0.25 %, then withdrawn with the mixed-control design"
negctl.lng_pool.max_change.withdrawn_0_25,0.25,%,-,withdrawn,legacy water wrapper comparison,42,**withdrawn.** It mixed the water treatment with the width gate and therefore was not a negative control
negctl.burro8.change.withdrawn_0_27,0.27,%,-,withdrawn,"Burro 8, mixed module comparison",24,**withdrawn.** Replaced by a bit-identical width-gate negative control and a separate 13.54 % cross-fluid water ablation
negctl.prairie_grass,bit-identical,-,A,model,"Prairie Grass, passive SO2",24,both modules active
negctl.ammonia.change,0.0,%,A,model,Desert Tortoise-like ammonia pool,23,"T_min 266 K, above the water triple point, so the sublimation curve is never reached"
pool.radius.median_ratio,1.03,-,B,comparison,six reported pool radii,"24, 26","USE THIS. Excludes NASA, whose pool was confined by the pond walls"
pool.radius.median_ratio.with_nasa,1.11,-,C,comparison,seven radii including NASA,24,document 24 quotes this; prefer 1.03 and footnote NASA
pool.regression.literature,1.0,mm/s,-,measurement,"Takeno 1994, Bailey 1960, ISO TR 15916 B.1",28,
pool.radius.sensitivity_to_E,0.67 to 0.91 m,-,C,model,"E3.5 trial 7, E from 1.0 to 0.54 mm/s",28,observed 0.70 m; E is a choice and this is how much it matters
ground.e34.median_ratio,1.31,-,B,comparison,"PRESLHY E3.4 Table 3, four periods",28,"concrete only, on windows the report chose; see docs/29 for the full set"
ground.e34.full.concrete02,1.18,-,B,comparison,"E3.4 raw data, 42 rate points",29,no wind
ground.e34.full.concrete03,2.73,-,B,comparison,"E3.4 raw data, 77 rate points",29,side wind 4 m/s
ground.e34.full.sand02,0.25,-,B,comparison,"E3.4 raw data, 76 rate points",29,
ground.e34.full.sand03,0.31,-,B,comparison,"E3.4 raw data, 94 rate points",29,
ground.e34.depth_drift,4.3,-,A,diagnostic,erfc inversion at 4 to 54 mm,29,the box is 100 mm on Styrofoam and is not semi-infinite
ground.rr986.depth_drift,1.8,-,A,diagnostic,erfc inversion at 10 to 30 mm,33,an outdoor slab; confirms the attribution of the E3.4 drift
ground.rr986.alpha_vs_model_min,2.82,-,B,comparison,"RR986 Figure 15, 10 mm",33,
ground.rr986.alpha_vs_model_max,5.04,-,B,comparison,"RR986 Figure 15, 20 mm",33,
ground.rr986.temperature_bias,37.4,K,B,comparison,"RR986 Figure 15, 29 points",33,digitising uncertainty is 5 K; the properties do not transfer
ground.concrete.alpha_warm,6.6e-07,m2/s,-,measurement,room-temperature handbook value,28,using this under a cryogenic pool halves the heat flux
ground.critical_heat_flux,120000.0,W/m2,-,measurement,"Shirai et al., Cryogenics 50 (2010) 410",28,caps the conduction solution for the first 24 s
ground.chf.max_rate,67.4,g/s,A,model,A x CHF / dh_vap,28,PRESLHY report 66.8
ground.chf.binding_time,24.3,s,A,model,when conduction falls below the CHF,28,PRESLHY report 24.1
ground.flux_vs_literature.withdrawn,0.97,-,-,withdrawn,warm properties at an arbitrary t = 60 s,28,THE 97 %. There is no single ratio; it runs 2.48 to 0.68 over 60 to 800 s with the correct properties
rise.exponent.baseline,1.28,-,A,model,"NASA Test 6, no corrections",27,range 1.23 to 1.34 over the four trials
rise.exponent.width_only,1.07,-,A,model,"NASA Test 6, width coupling",27,range 1.05 to 1.28
rise.exponent.both,1.05,-,A,model,"NASA Test 6, width coupling and drag",31,range 0.86 to 1.30 after the aspect-ratio correction
rise.exponent.briggs,0.667,-,-,measurement,Briggs bent-over plume,22,the target
rise.exponent.registered_band,0.6 to 0.9,-,-,model,PREREG_lh2_plume_width P-W1,prereg,
rise.P_W1_pass.width_only,0,of 4,A,comparison,"NASA, width coupling and water correction","27, 31",`results.json` -> prereg_plume_width.P_W1_pass_width_only
rise.P_W1_pass.with_drag,1,of 4,A,comparison,"NASA, plus the exploratory vertical drag",31,"`results.json` -> prereg_plume_width.P_W1_pass_with_drag. **Neither is recorded as a pass**: the outcome is dominated by the pool radius, which the NASA paper does not report. docs/35 section 35.3"
e34.ground_origin_effect,4.52 to 1.18,-,A,diagnostic,"conduction ratio, per-fill peak vs surface reaching 20 K",29,"the time origin has to be when the ground first went cold, not when each fill peaked"
rise.exponent.withdrawn_0869,0.869,-,-,withdrawn,NASA Test 6 before the water correction,27,"the original P-W1 pass; withdrawn, the water fix moves it to 1.047"
rise.residual.dlnB_dlnz,0.39 to 0.59,-,A,diagnostic,"NASA four trials, both corrections",27,Briggs needs 1.0; the width is coupled only partway
rise.residual.dlnh_dlnz,0.23 to 0.49,-,A,diagnostic,NASA four trials,27,Briggs needs 1.0; **the depth is not coupled to the rise at all**
rise.residual.prediction_accuracy,0.059,fraction,A,diagnostic,n = 2/(s+1) against the fitted exponent,27,"worst of the four; the set is 3.0, 3.1, 5.7 and 5.9 %. This is what turns a failure into a located missing term"
drag.cd0_continuous,1.17,-,-,measurement,"circular cylinder in crossflow, classical",31,not fitted
drag.cd1_continuous,1.2,-,-,measurement,"aspect-ratio dependence, numerical",31,not fitted
premise.ffi.max_ratio,0.182,-,A,diagnostic,six FFI trials,22,range 0.048 to 0.182; all inside
premise.e35.max_ratio,0.697,-,A,diagnostic,seventeen E3.5 trials,27,range 0.015 to 0.697; all inside
premise.nasa.max_ratio,4.74,-,A,diagnostic,four NASA trials,31,range 0.61 to 4.74; three of four outside
premise.zhang.max_ratio,821.8,-,A,diagnostic,eight Zhang trials,27,range 13.7 to 821.8; all outside
premise.nasa.rise_angle,75.0,deg,A,diagnostic,NASA Test 6,22,the cloud rises at 75 degrees while the formulation integrates downwind
premise.zhang.rise_angle,85.8 to 89.9,deg,A,diagnostic,eight Zhang trials,27,"the failure is visible, which is the property the monitoring application depends on"
ucrit.D.a,2.611924,-,A,model,bisected on max w_c/u with the width-coupled 0.1.3 configuration; fitted log-log,30,
ucrit.D.b,0.133865,-,A,model,as above,30,
ucrit.fit_range,0.1 to 30,kg/s,-,model,as above,30,outside this it is extrapolation
ucrit.withdrawn,2.5 q^0.15,-,-,withdrawn,a round figure in document 22,30,historical approximation; not what critical_wind uses
ucrit.screening_vs_diagnostic,28 of 35 agree,-,A,diagnostic,"four campaigns, scripts/applicability_all.py",37,"seven disagreements, all momentum jets that the pool-fitted screen flags conservatively"
ucrit.screening_misses,0,cases,A,diagnostic,"four campaigns, n = 35",37,**no case that the model refuses was passed by the screen.** A false flag costs one unnecessary integration; a miss would let a caller use a number the model does not stand behind
ucrit.agreement_on_pools,15 of 15,-,A,diagnostic,"NASA, Zhang, E3.5 downward",37,"the screen was fitted to a pool source, so this is the case it should get right; every disagreement is a jet"
runtime.warm_e2e_p95_ffi4,65.648925,ms,-,model,"i9-12900K, Python 3.12.14, slabx 1.0.6, slabx-lh2 0.1.3, n = 100",60,"p99/p50 = 1.080, no failures; 380-row raw record and hashes archived"
runtime.warm_e2e_p95_out_of_scope_ms,149.077435,ms,-,model,"NASA test 6, same 0.1.3 run, n = 100",60,the slowest of the three single cases: **refusing costs a full integration**
runtime.batch35_sequential_p95,4196.8819,ms,-,model,"35 scenarios sequentially, same 0.1.3 run, n = 30",60,"p99/p50 = 1.015. FFI 6, PRESLHY E3.5 17, NASA 4, Zhang 8"
runtime.batch35_parallel.not_quotable,3.7 to 3.9,-,-,model,"35 scenarios on 6 and on 4 processes, n = 30 each",53,"**do not quote.** p99/p50 is 3.67 on six workers and 3.88 on four -- reducing the worker count makes it worse, so this is not a tuning problem. The parallel run also degrades the sequential measurement in the same process, from p99/p50 1.06 to 1.36"
runtime.cold_over_warm,23.6009,-,A,diagnostic,"cold start p50 against warm p50, same 0.1.3 run",60,**a per-request subprocess is not viable.** Use a pre-warmed worker
runtime.out_of_scope_is_the_slowest,True,-,A,diagnostic,"NASA Test 6 against the two FFI cases, same 0.1.3 run",60,**refusing costs a full integration.** p95 149.077 ms against 65.649 and 117.070 ms
runtime.workers_must_be_processes,True,-,-,diagnostic,the module-global patch plus the cold-start cost,"31, 37","threads raise ConcurrentPatchError, and a fresh process costs about thirty warm calls, so the pool has to be pre-warmed processes"
ablation.ffi_driver,water correction,-,A,diagnostic,"2x2, scripts/ablation_2x2.py",37,W0C0 = W0C1 and W1C0 = W1C1 on FFI: the coupling is gated on is_lofted and no FFI trial lofts. Tests 1 and 6 move from outside the bracket to inside on the water correction alone
ablation.nasa_driver,width coupling,-,A,diagnostic,2x2 rise exponent,37,"water alone raises the exponent 1.19 to 1.28, the coupling alone drops it to 0.89, and together they partly cancel at 1.05"
briggs.threshold,20.0,-,-,measurement,Briggs 1973,prereg,stated uncertainty a factor of two
briggs.ffi.lifted,29.0,-,C,comparison,FFI Test 6,prereg,the rest are 2.3 to 11.7
briggs.e35.rank_corr_wind,-0.891,-,C,comparison,seventeen E3.5 trials,prereg,
briggs.e35.rank_corr_rate,0.213,-,C,comparison,seventeen E3.5 trials,prereg,"the point: L_p sorts by wind, not by release rate"
briggs.e35.rank_corr_wind.robustness,-0.891 to -0.936,-,C,comparison,"three flow-rate bases: nominal, meter peak, meter mean",36,the rate spans 14 to 298 g/s across the three and the ordering does not move; the rate correlation stays at +0.20 to +0.31
ffi.test5.duration.withdrawn,120.0,s,-,withdrawn,the first unignited release only,36,replaced by 240 s; the LFL distance moves 45.75 to 43.56 m and no verdict changes
briggs.nasa.rank_corr_wind,-1.0,-,C,comparison,four NASA trials,prereg,
briggs.rr986.transition,2.7 to 2.9,m/s,C,comparison,four RR986 trials at fixed 60 L/min,prereg,RR986's own text says the cloud was more buoyant below 3 m/s
briggs.threshold_transfers,False,-,C,comparison,four campaigns,prereg,"separates three sets spanning 0.07 to 0.83 kg/s and fails on NASA at 10 to 17; carried as an ordering variable, not a gate"
lfl.in_bracket,5,of 6,B,comparison,"FFI arcs at 30, 50 and 100 m","24, 27",
lfl.safety_factor_required,1.114,-,B,comparison,the six FFI trials,27,"REPLACES 1.23, which came from the un-interpolated grid"
lfl.safety_factor_required.withdrawn,1.23,-,-,withdrawn,before the crossing was interpolated,27,"replaced by 1.114. slabx integrates on a geometric grid and the distance was read at the last node above the limit rather than at the interpolated crossing, which made four trials return an identical 40.75 m"
lfl.safety_factor_adopted,1.25,-,-,model,rounded engineering margin,26,derived and evaluated on the same six trials; **not independently validated**
lfl.phmsa_lng_factor.withdrawn,2.5,-,-,withdrawn,misread of 49 CFR 193.2059(b)(1),43,"**withdrawn.** The regulation's 2.5 is an *average gas concentration in air of 2.5 percent*, the dispersion endpoint, not a distance multiplier. There is no regulatory distance factor to compare SAFETY_FACTOR against"
regulatory.lng_endpoint_concentration,2.5,vol %,-,measurement,49 CFR 193.2059(b)(1),43,"the LNG dispersion endpoint; the same section sets F stability, 2.01 m/s at 10 m, RH 50 %, receptor height 0.5 m and roughness 0.03 m"
lfl.grid_independence.withdrawn,0.001,fraction,-,withdrawn,"a single trial, taken as representative",50,"**withdrawn.** Re-measured on all six over x_max 120 to 1200 m, the spread is 0.07 to 1.65 %"
lfl.grid_independence,0.0165,fraction,A,model,"all six FFI trials, x_max 120 to 1200 m",50,"worst of six: 0.07 % on test 4, **1.65 % on test 6**. The lofting trial is the sensitive one, because where the integration stops changes how much of the rise is resolved. `n_puff_steps` has no effect in plume mode. After interpolation; before it, four trials returned an identical 40.75 m because the geometric grid is shared"
lfl.humidity_insensitivity,1.3,-,A,model,"RH 60, 75 and 90 %",27,the ratio of the largest to the smallest LFL distance; the arc concentrations move by an order of magnitude over the same sweep
air.onset.N2,90.27,mol%,A,model,adiabatic mix with sublimation below the triple points,30,
air.onset.O2,88.15,mol%,A,model,as above,30,
air.ufl_hydrogen,75.0,mol%,-,measurement,standard,30,"onset is above it, so air condensation never happens inside the flammable range"
air.effect_direction,lighter,-,A,model,rho/rho_a 0.883 to 0.729 at 97 mol%,30,latent heat and the loss of heavy species both lower the density
orientation.slabx_ratio,1.03,-,A,model,"same pair, both as HorizontalJet",18,
orientation.chen_rodi_ratio,1.0,-,A,comparison,Chen & Rodi similarity law on the same pair,22,**the reference correlation cannot distinguish them either**
orientation.pool_source_ratio,13684.0,-,A,model,vertical-down as a momentumless pool,prereg,the rejected ImpingingJet; the measurement is bracketed by four orders of magnitude
orientation.misreading,horizontal under-predicted,-,B,diagnostic,"FFI Tests 3, 4, 7 at 30 m",prereg,document 18 read this backwards: vertical-down is already right and the horizontal case is 2.6x low
hyram.trials_run,1 of 4,-,C,comparison,FFI outdoor trials,18,"HyRAM+ 6.1 has no ground boundary, so vertical-down releases pass through the ground"
hyram.cloud_height_at_100m,99.9,m,C,comparison,FFI Test 4,18,"slabx 1.83 m, measured 1.8 m"
provenance.nasa.detachment.withdrawn,20 m,-,-,withdrawn,Ichard et al. reading a contour plot,27,the original reports ground-level travel of 50 to 100 m; two different measurements
entrainment.excess_vs_free_jet.withdrawn,4.4 to 5.4,-,-,withdrawn,an arithmetic error,47,"**withdrawn.** The Ricou-Spalding comparison used a mass-weighted source density of 40.2 kg/m3 where the model uses 2.686. Corrected, the ratio is 1.17 to 1.48"
